"ma_lop","bai_so","ten_da_go","ten_bai_giao_trinh_hien_hanh","sua_sau_khi_tao"
"CS1.SATA3.26.002","1","Bàn tay ma thuật","HP1 - Bàn tay ma thuật","+43h"
"CS1.SATA3.26.002","2","Đấu trường con quay","HP1 - Đấu trường con quay","+43h"
