BACKFILL cmu1exu4n001nf6223jumhql2 4080000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-8" | sach=BACKFILLSOCUDONORDCS1208 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu4j001mf62270p6st0u(ORDCS1208D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu4s001qf622c4oxyqbs 4800000 | memo="Backfill sổ cũ · đơn ORD-CS1--20-12" | sach=BACKFILLSOCUDONORDCS12012 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu4p001pf622za840uod(ORDCS12012D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu4z001tf622jytj0sj7 4080000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-3" | sach=BACKFILLSOCUDONORDCS1203 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu4v001sf622dgd9qwl0(ORDCS1203D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu55001wf6223ntb5xeb 4420000 | memo="Backfill sổ cũ · đơn ORD--CS2--24-7" | sach=BACKFILLSOCUDONORDCS2247 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu52001vf622l4r9ihq0(ORDCS2247D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu5c0020f622ddjjocx6 4320000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-7" | sach=BACKFILLSOCUDONORDCS1207 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu59001zf622duhdfdwf(ORDCS1207D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu5h0023f622yv060img 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--26-2" | sach=BACKFILLSOCUDONORDCS2262 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu5f0022f622p41vglyn(ORDCS2262D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu5p0026f622w3pxcj1p 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--24-2" | sach=BACKFILLSOCUDONORDCS2242 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu5l0025f62237ttblca(ORDCS2242D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu5v002af622asei8aql 4180000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-2" | sach=BACKFILLSOCUDONORDCS1242 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu5t0029f6226ll2apfc(ORDCS1242D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu60002df622lrbjsj0b 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--27-1" | sach=BACKFILLSOCUDONORDCS2271 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu5x002cf622bk3wk3p7(ORDCS2271D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu64002gf6223wyj7suo 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--27-2" | sach=BACKFILLSOCUDONORDCS2272 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu62002ff6221cebkaoj(ORDCS2272D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu6c002kf622xlas5k6o 2600000 | memo="Backfill sổ cũ · đơn ORD--CS2--27-7" | sach=BACKFILLSOCUDONORDCS2277 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu68002jf622c4pzp045(ORDCS2277D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu6p002qf622chs3mqgq 1440000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-7" | sach=BACKFILLSOCUDONORDCS2197 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu6k002pf62239yx2gvk(ORDCS2197D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu6i002nf622ofa5r2u4 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-3" | sach=BACKFILLSOCUDONORDCS1163 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu6g002mf622zrckyd05(ORDCS1163D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu6w002tf6229th5emct 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-1" | sach=BACKFILLSOCUDONORDCS1241 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu6s002sf6228uvxqkl5(ORDCS1241D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu71002wf6222bhtbd42 2600000 | memo="Backfill sổ cũ · đơn ORD--CS2--27-5" | sach=BACKFILLSOCUDONORDCS2275 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu6z002vf622b9rsxwe2(ORDCS2275D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu7d0032f622wgloq09d 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--27-4" | sach=BACKFILLSOCUDONORDCS2274 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7a0031f622fpl9hbrc(ORDCS2274D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu76002zf6229846ea5t 3960000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-8" | sach=BACKFILLSOCUDONORDCS1168 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu73002yf622k82xhncd(ORDCS1168D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu7i0035f622z1japojb 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-6" | sach=BACKFILLSOCUDONORDCS1166 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7f0034f6228kiyftcv(ORDCS1166D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu7r003bf6221rnvo6qs 5600000 | memo="Backfill sổ cũ · đơn ORD--CS1--17-3" | sach=BACKFILLSOCUDONORDCS1173 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7p003af6220crqrm0l(ORDCS1173D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu7x003ef622w2go2xdz 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-6" | sach=BACKFILLSOCUDONORDCS1246 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7u003df622etq5f9w0(ORDCS1246D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu82003hf622kj73omey 1440000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-9" | sach=BACKFILLSOCUDONORDCS2199 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7z003gf622blgxgpd7(ORDCS2199D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu7m0038f622vrr4e3he 2200000 | memo="Backfill sổ cũ · đơn ORD--CS1--24-4" | sach=BACKFILLSOCUDONORDCS1244 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu7k0037f622oaviz0wp(ORDCS1244D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu8d003nf622kck73wuw 1320000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-5" | sach=BACKFILLSOCUDONORDCS1165 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu89003mf6228521e3ey(ORDCS1165D0)] | KHAC(parser bỏ sót)
