BACKFILL|cmu1exu71002wf6222bhtbd42|2600000|3:KHONG_DOC_DUOC||cmu1exu6z002vf622b9rsxwe2|KHAC(parser bỏ sót)
SEPAY|uat-gdnh-44|4400000|3:KHONG_DOC_DUOC|||CUNG(cùng không gắn)
BACKFILL|cmu1exu7d0032f622wgloq09d|5200000|3:KHONG_DOC_DUOC||cmu1exu7a0031f622fpl9hbrc|KHAC(parser bỏ sót)
BACKFILL|cmu1exu76002zf6229846ea5t|3960000|3:KHONG_DOC_DUOC||cmu1exu73002yf622k82xhncd|KHAC(parser bỏ sót)
BACKFILL|cmu1exu7i0035f622z1japojb|4400000|3:KHONG_DOC_DUOC||cmu1exu7f0034f6228kiyftcv|KHAC(parser bỏ sót)
SEPAY|uat-gdnh-19|4400000|3:KHONG_DOC_DUOC|||CUNG(cùng không gắn)
BACKFILL|cmu1exu7r003bf6221rnvo6qs|5600000|3:KHONG_DOC_DUOC||cmu1exu7p003af6220crqrm0l|KHAC(parser bỏ sót)
BACKFILL|cmu1exu7x003ef622w2go2xdz|4400000|3:KHONG_DOC_DUOC||cmu1exu7u003df622etq5f9w0|KHAC(parser bỏ sót)
BACKFILL|cmu1exu82003hf622kj73omey|1440000|3:KHONG_DOC_DUOC||cmu1exu7z003gf622blgxgpd7|KHAC(parser bỏ sót)
BACKFILL|cmu1exu7m0038f622vrr4e3he|2200000|3:KHONG_DOC_DUOC||cmu1exu7k0037f622oaviz0wp|KHAC(parser bỏ sót)
SEPAY|uat-gdnh-46|2200000|3:KHONG_DOC_DUOC|||CUNG(cùng không gắn)
BACKFILL|cmu1exu8d003nf622kck73wuw|1320000|3:KHONG_DOC_DUOC||cmu1exu89003mf6228521e3ey|KHAC(parser bỏ sót)
SEPAY|uat-gdnh-32|2200000|3:KHONG_DOC_DUOC|||CUNG(cùng không gắn)
BACKFILL|cmu1exu87003kf62201rrtpvv|2200000|3:KHONG_DOC_DUOC||cmu1exu84003jf622zb59r645|KHAC(parser bỏ sót)
BACKFILL|cmu1exu8h003qf62254tkopvv|5200000|3:KHONG_DOC_DUOC||cmu1exu8f003pf622bp8eff3n|KHAC(parser bỏ sót)
BACKFILL|cmu1exu8q003uf622bkdnyk03|2400000|3:KHONG_DOC_DUOC||cmu1exu8n003tf62242zftw6j|KHAC(parser bỏ sót)
BACKFILL|cmu1exu940044f622tdtfzp2a|4400000|3:KHONG_DOC_DUOC||cmu1exu920043f622ccqco33d|KHAC(parser bỏ sót)
BACKFILL|cmu1exu8u003xf622nlb5ciwe|5320000|3:KHONG_DOC_DUOC||cmu1exu8s003wf6226avm9f62|KHAC(parser bỏ sót)
BACKFILL|cmu1exu8z0041f6227ocianq1|4400000|3:KHONG_DOC_DUOC||cmu1exu8x0040f62220izni7u|KHAC(parser bỏ sót)
BACKFILL|cmu1exu9h004df622bvauiuhp|4180000|3:KHONG_DOC_DUOC||cmu1exu9f004cf622vtewnwnb|KHAC(parser bỏ sót)
BACKFILL|cmu1exu9m004gf622mxpqe7pu|4400000|3:KHONG_DOC_DUOC||cmu1exu9j004ff622kwwvtu73|KHAC(parser bỏ sót)
BACKFILL|cmu1exu9s004jf622j9pzd6zi|4800000|3:KHONG_DOC_DUOC||cmu1exu9p004if622lmdix0xp|KHAC(parser bỏ sót)
SEPAY|uat-gdnh-15|4420000|3:KHONG_DOC_DUOC|||CUNG(cùng không gắn)
BACKFILL|cmu1exu980047f622zx3803xi|3360000|3:KHONG_DOC_DUOC||cmu1exu960046f6220s7z951m|KHAC(parser bỏ sót)
BACKFILL|cmu1exu9d004af622oyjckjzt|4420000|3:KHONG_DOC_DUOC||cmu1exu9b0049f622xzp96o9x|KHAC(parser bỏ sót)
BACKFILL|cmu1exu9y004nf622drszzmap|1320000|3:KHONG_DOC_DUOC||cmu1exu9w004mf62272u0jt5g|KHAC(parser bỏ sót)
BACKFILL|cmu1exua5004qf622goekis5o|2244000|3:KHONG_DOC_DUOC||cmu1exua1004pf622g60cbh5s|KHAC(parser bỏ sót)
BACKFILL|cmu1exuai004wf622ros18rwe|4400000|3:KHONG_DOC_DUOC||cmu1exuac004vf622b8x9832c|KHAC(parser bỏ sót)
BACKFILL|cmu1exuaa004tf6227lu9bseo|4420000|3:KHONG_DOC_DUOC||cmu1exua8004sf622gjsbt7be|KHAC(parser bỏ sót)
BACKFILL|cmu1exuaq004zf6222vm1mzhy|5200000|3:KHONG_DOC_DUOC||cmu1exual004yf622mjoeegoe|KHAC(parser bỏ sót)
